"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","1,2511","1,2548","1,2571","1,2504","","-0,32%"
"30.12.2024","1,2551","1,2571","1,2608","1,2505","","-0,22%"
"27.12.2024","1,2579","1,2523","1,2594","1,2503","","0,43%"
"26.12.2024","1,2525","1,2552","1,2553","1,2500","","-0,22%"
"25.12.2024","1,2553","1,2543","1,2560","1,2526","","0,09%"
"24.12.2024","1,2542","1,2536","1,2577","1,2517","","0,07%"
"23.12.2024","1,2533","1,2568","1,2590","1,2509","","-0,29%"
"20.12.2024","1,2569","1,2502","1,2615","1,2473","","0,56%"
"19.12.2024","1,2499","1,2577","1,2668","1,2494","","-0,59%"
"18.12.2024","1,2573","1,2710","1,2724","1,2562","","-1,08%"
"17.12.2024","1,2710","1,2685","1,2730","1,2665","","0,23%"
"16.12.2024","1,2681","1,2614","1,2700","1,2612","","0,50%"
"13.12.2024","1,2618","1,2677","1,2684","1,2607","","-0,41%"
"12.12.2024","1,2670","1,2751","1,2789","1,2665","","-0,63%"
"11.12.2024","1,2750","1,2772","1,2783","1,2712","","-0,14%"
"10.12.2024","1,2768","1,2751","1,2779","1,2723","","0,15%"
"09.12.2024","1,2749","1,2735","1,2800","1,2716","","0,05%"
"06.12.2024","1,2742","1,2759","1,2813","1,2720","","-0,13%"
"05.12.2024","1,2758","1,2703","1,2772","1,2692","","0,44%"
"04.12.2024","1,2702","1,2673","1,2723","1,2629","","0,25%"
"03.12.2024","1,2670","1,2656","1,2701","1,2635","","0,12%"
"02.12.2024","1,2655","1,2746","1,2746","1,2616","","-0,64%"
"29.11.2024","1,2737","1,2685","1,2751","1,2671","","0,39%"
"28.11.2024","1,2687","1,2680","1,2693","1,2644","","0,07%"
"27.11.2024","1,2678","1,2572","1,2696","1,2565","","0,88%"
"26.11.2024","1,2568","1,2571","1,2618","1,2506","","0,01%"
"25.11.2024","1,2567","1,2541","1,2615","1,2539","","0,29%"
"22.11.2024","1,2531","1,2592","1,2596","1,2486","","-0,44%"
"21.11.2024","1,2586","1,2651","1,2661","1,2575","","-0,51%"
"20.11.2024","1,2650","1,2681","1,2716","1,2629","","-0,25%"
"19.11.2024","1,2682","1,2677","1,2691","1,2612","","0,05%"
"18.11.2024","1,2676","1,2615","1,2688","1,2608","","0,47%"
"15.11.2024","1,2617","1,2666","1,2699","1,2596","","-0,38%"
"14.11.2024","1,2665","1,2707","1,2722","1,2629","","-0,30%"
"13.11.2024","1,2703","1,2747","1,2770","1,2685","","-0,35%"
"12.11.2024","1,2747","1,2871","1,2875","1,2718","","-0,95%"
"11.11.2024","1,2869","1,2917","1,2928","1,2854","","-0,40%"
"08.11.2024","1,2921","1,2989","1,2991","1,2882","","-0,50%"
"07.11.2024","1,2986","1,2882","1,3011","1,2874","","0,84%"
"06.11.2024","1,2878","1,3043","1,3049","1,2833","","-1,25%"
"05.11.2024","1,3041","1,2958","1,3044","1,2947","","0,65%"
"04.11.2024","1,2957","1,2972","1,3001","1,2933","","0,24%"
"01.11.2024","1,2926","1,2902","1,2982","1,2883","","0,22%"
"31.10.2024","1,2898","1,2964","1,3001","1,2843","","-0,49%"
"30.10.2024","1,2962","1,3016","1,3045","1,2936","","-0,41%"
"29.10.2024","1,3015","1,2973","1,3018","1,2957","","0,34%"
"28.10.2024","1,2971","1,2964","1,3003","1,2938","","0,09%"
"25.10.2024","1,2959","1,2977","1,3000","1,2955","","-0,10%"
"24.10.2024","1,2972","1,2921","1,2989","1,2908","","0,40%"
"23.10.2024","1,2920","1,2983","1,2996","1,2906","","-0,49%"
"22.10.2024","1,2983","1,2984","1,3016","1,2944","","-0,01%"
"21.10.2024","1,2984","1,3043","1,3060","1,2976","","-0,49%"
"18.10.2024","1,3048","1,3011","1,3073","1,3004","","0,29%"
"17.10.2024","1,3010","1,2990","1,3024","1,2973","","0,15%"
"16.10.2024","1,2990","1,3074","1,3079","1,2975","","-0,63%"
"15.10.2024","1,3072","1,3060","1,3104","1,3034","","0,10%"
"14.10.2024","1,3059","1,3064","1,3073","1,3029","","-0,05%"
"11.10.2024","1,3066","1,3059","1,3085","1,3040","","0,06%"
"10.10.2024","1,3058","1,3072","1,3096","1,3021","","-0,09%"
"09.10.2024","1,3070","1,3104","1,3108","1,3054","","-0,26%"
"08.10.2024","1,3104","1,3083","1,3115","1,3063","","0,16%"
"07.10.2024","1,3083","1,3105","1,3136","1,3058","","-0,25%"
"04.10.2024","1,3116","1,3125","1,3176","1,3068","","-0,06%"
"03.10.2024","1,3124","1,3268","1,3277","1,3091","","-1,08%"
"02.10.2024","1,3267","1,3285","1,3307","1,3245","","-0,14%"
"01.10.2024","1,3285","1,3375","1,3391","1,3236","","-0,64%"
"30.09.2024","1,3370","1,3369","1,3425","1,3349","","-0,02%"
"27.09.2024","1,3373","1,3415","1,3429","1,3359","","-0,31%"
"26.09.2024","1,3415","1,3324","1,3436","1,3311","","0,69%"
"25.09.2024","1,3323","1,3412","1,3431","1,3311","","-0,66%"
"24.09.2024","1,3412","1,3347","1,3418","1,3331","","0,49%"
"23.09.2024","1,3346","1,3320","1,3361","1,3247","","0,19%"
"20.09.2024","1,3321","1,3284","1,3342","1,3267","","0,28%"
"19.09.2024","1,3284","1,3213","1,3316","1,3152","","0,54%"
"18.09.2024","1,3212","1,3161","1,3299","1,3155","","0,40%"
"17.09.2024","1,3160","1,3216","1,3231","1,3145","","-0,42%"
"16.09.2024","1,3216","1,3124","1,3220","1,3120","","0,72%"
"13.09.2024","1,3122","1,3125","1,3159","1,3113","","-0,01%"
"12.09.2024","1,3123","1,3046","1,3129","1,3031","","0,61%"
"11.09.2024","1,3043","1,3080","1,3113","1,3001","","-0,28%"
"10.09.2024","1,3079","1,3074","1,3109","1,3048","","0,05%"
"09.09.2024","1,3072","1,3118","1,3145","1,3067","","-0,39%"
"06.09.2024","1,3123","1,3178","1,3240","1,3109","","-0,39%"
"05.09.2024","1,3175","1,3147","1,3187","1,3136","","0,25%"
"04.09.2024","1,3142","1,3113","1,3176","1,3099","","0,24%"
"03.09.2024","1,3111","1,3151","1,3151","1,3086","","-0,29%"
"02.09.2024","1,3149","1,3122","1,3157","1,3119","","0,18%"
"30.08.2024","1,3126","1,3166","1,3201","1,3108","","-0,32%"
"29.08.2024","1,3168","1,3191","1,3229","1,3144","","-0,17%"
"28.08.2024","1,3190","1,3259","1,3264","1,3167","","-0,49%"
"27.08.2024","1,3255","1,3190","1,3268","1,3179","","0,49%"
"26.08.2024","1,3190","1,3214","1,3226","1,3179","","-0,14%"
"23.08.2024","1,3209","1,3090","1,3232","1,3085","","0,92%"
"22.08.2024","1,3088","1,3093","1,3131","1,3075","","-0,03%"
"21.08.2024","1,3092","1,3033","1,3121","1,3010","","0,48%"
"20.08.2024","1,3029","1,2995","1,3054","1,2973","","0,32%"
"19.08.2024","1,2988","1,2936","1,2998","1,2932","","0,34%"
